representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"promedio, hasta 50 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"promedio, hasta 100 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"promedio, todas las reseñas",768,-0.9999999999999998,0.0,0.0,referencia,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 50 por dimensión, hasta 50 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 50 por dimensión, hasta 100 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 50 por dimensión, todas las reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 75 por dimensión, hasta 50 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 75 por dimensión, hasta 100 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 75 por dimensión, todas las reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 90 por dimensión, hasta 50 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 90 por dimensión, hasta 100 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 90 por dimensión, todas las reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 95 por dimensión, hasta 50 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 95 por dimensión, hasta 100 reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"percentil 95 por dimensión, todas las reseñas",768,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"promedio + percentiles de similitud, hasta 50 reseñas",816,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"promedio + percentiles de similitud, hasta 100 reseñas",816,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
"promedio + percentiles de similitud, todas las reseñas",816,-0.9999999999999998,0.0,0.0,0/10,0.6309297535714575,1.0,1.9075585298905657,0.0,0.0,-2.9507047090917733,-3.0,-3.0
